#A. Arinyo-i-Prats, V1, catalogue Metal Stength  mesure of the metal strength (corrected by the DLA's column and not) belonging to the Damped Lyman-alpha systems  SDSS catalog (done by P. Notredame DR12_V1)
# ========================================================================================   
# Col1:  A15 (I5-I04-I04)  MJD, plate and fiber number of highest SNR spectrum (if combined)
# Col2:  F9.5              Right ascension in degrees
# Col3:  F+8.4             Declination in degrees 
# Col4:  F6.4		   Quasar redshift
# Col5:  F5.1              Continuum to noise ratio in [Lyb-Lya] region
# col6:  I6		   Visual Flag for the DLAs
# Col7:  I6                Balnicity Index (km/s)      --> Isabelle
# Col8:  F6.4              Absorption redshift of the DLA candidate
# Col9:  F5.2              Log10 of HI column density (cm^-2)
# Col10-11: 		   Metal strenght and its error, corrected by the column density HI, in adimensional units
# Col12-13: 		   Metal strenght and its error, uncorrected , in adimensional units
#=======================================================================================================
##MJD-Plate-Fiver RA       Dec 	    zqso CNR  flDLA BI  z_abs   NHI 	MS(HI)   errMS(HI) MS	  errMS  
#-------------------------------------------------------------------------------------------------------
55269-3784-0715 153.91849 -0.9748   3.147 3.9   1  0    2.256   20.28   -1.9551  0.808   -1.2306  0.612   
55269-3784-0715 153.91849 -0.9748   3.147 3.9   1  0    2.8053  20.03   1.5747   0.362   1.0300   0.234   
55269-3784-0715 153.91849 -0.9748   3.147 3.9   1  0    2.8561  21.66   2.4006   0.132   4.2786   0.236   
55679-4876-0322 153.92533 +4.9795   2.814 10.8  1  21   2.7102  20.12   -0.1996  0.122   -0.0941  0.0911  
56310-6466-0010 153.93271 +24.6551  2.577 1.8   1  0    2.2284  20.88   0.4223   0.614   0.4711   0.827   
56310-6466-0010 153.93271 +24.6551  2.577 1.8   1  0    2.4977  20.14   -0.4008  0.398   -0.2643  0.313   
55600-4568-0206 153.93707 +34.7113  2.838 3.6   0  0    2.5858  20.06   1.2841   0.54    0.8753   0.357   
56713-7082-0330 153.93900 +63.0238  2.238 2.1   1  0    2.1716  20.61   1.7612   0.225   1.8412   0.237   
55543-3831-0530 153.95420 +0.3389   4.398 7.2   1  0    3.054   20.12   0.7303   0.389   0.4667   0.249   
55543-3831-0530 153.95420 +0.3389   4.398 7.2   1  0    3.7357  20.49   0.0000   0       0.0000   0       
55543-3831-0530 153.95420 +0.3389   4.398 7.2   1  0    3.8628  20.06   -0.6343  0.636   -0.3699  0.371   
55543-3831-0530 153.95420 +0.3389   4.398 7.2   1  0    4.1521  20.31   0.0000   0       0.0000   0       
55644-4692-0432 153.95976 +44.2427  2.97  10.9  1  0    2.4662  20.59   1.6723   0.255   1.7721   0.269   
55644-4692-0432 153.95976 +44.2427  2.97  10.9  1  0    2.5252  20.53   0.5004   0.384   0.4935   0.375   
56637-7087-0201 153.96169 +58.6246  2.592 3.3   1  0    2.3803  21.26   0.4530   0.189   0.6526   0.293   
56033-5883-0162 153.97342 +17.6867  2.456 2.2   0  0    2.3265  20.6    0.8060   0.875   0.8286   0.906   
56033-5883-0840 153.99847 +19.8824  2.551 25.9  0  0    2.4989  20.33   0.2714   0.0344  0.2531   0.0302  
56279-6465-0408 154.00112 +24.1510  2.666 2.1   0  0    2.4601  20.07   3.3964   0.45    2.1288   0.28    
55570-4562-0794 154.00627 +40.6814  2.988 14.6  1  0    2.8149  20.02   0.9446   0.128   0.5717   0.0754  
56602-6687-0780 154.01580 +53.4841  2.774 7.7   1  0    2.3594  20.17   1.7126   0.484   1.1404   0.315   
56398-6696-0529 154.02016 +55.2680  3.01  3     1  0    2.6474  20.94   3.4006   0.826   4.9610   1.19    
56713-7082-0734 154.02357 +64.2948  2.85  32.6  1  0    2.3431  20.4    3.3907   0.125   2.8923   0.107   
56602-6687-0402 154.02435 +52.8486  3.115 9.6   1  0    2.387   20.23   2.7174   0.311   2.0101   0.221   
56602-6687-0402 154.02435 +52.8486  3.115 9.6   1  0    2.8956  20.28   1.6056   0.113   1.2676   0.0888  
55653-4801-0075 154.02944 +4.2138   3.4   15.2  1  0    2.1346  20.09   1.2858   0.795   0.6930   0.441   
55653-4801-0075 154.02944 +4.2138   3.4   15.2  1  0    2.7904  20.52   1.9110   0.292   1.8067   0.282   
55653-4801-0075 154.02944 +4.2138   3.4   15.2  1  0    2.9155  21.57   -0.3909  0.137   -0.8090  0.268   
55922-5339-0520 154.03177 +8.4893   2.782 8.9   0  0    2.4118  20      0.5612   0.471   0.2649   0.24    
55269-3784-0758 154.03961 -1.1942   2.228 3.9   0  0    2.2032  20.38   0.0385   0.597   0.0555   0.532   
56366-6661-0066 154.04187 +48.5814  2.542 4.5   1  0    2.1668  20.89   1.8817   0.332   2.5673   0.448   
56326-6462-0634 154.04206 +30.3735  2.835 2.3   1  0    2.5554  20.36   0.1501   0.475   0.1310   0.412   
56336-6454-0658 154.04424 +34.0582  3.849 4.5   1  0    2.9599  20.56   0.9042   0.453   0.9448   0.462   
56279-6465-0620 154.04776 +25.6358  2.505 2.4   0  0    2.4577  20.19   0.8381   0.545   0.6195   0.391   
56713-7082-0307 154.04991 +63.6793  2.93  6.7   1  0    2.5781  21.53   1.3536   0.292   2.7597   0.627   
55957-5336-0354 154.05888 +10.2494  2.318 3.6   1  0    2.2427  20.48   2.5399   0.172   2.4672   0.167   
55653-4801-0026 154.06688 +3.8057   3.147 5     1  0    2.4434  21.01   0.0180   0.282   0.1385   0.408   
56033-5883-0174 154.06841 +17.8712  3.438 8     0  0    3.2382  20.86   0.2441   0.179   0.3059   0.224   
56001-5333-0004 154.07889 +12.2463  2.427 2.5   0  0    2.2343  20.06   2.1019   0.391   1.2527   0.239   
56001-5333-0004 154.07889 +12.2463  2.427 2.5   0  0    2.3142  20.5    2.1750   0.604   2.1436   0.585   
56279-6465-0632 154.09496 +26.1163  3.681 2.7   1  0    2.3883  20.03   19.7121  22.8    5.0177   5.79    
56279-6465-0632 154.09496 +26.1163  3.681 2.7   1  0    3.1028  20.15   1.0006   2.14    0.8678   1.27    
56334-6470-0086 154.09727 +26.0935  2.291 2.7   1  0    2.1716  20.94   -0.3920  0.225   -0.5002  0.299   
56334-6470-0086 154.09727 +26.0935  2.291 2.7   1  0    2.2113  20.51   0.3109   0.32    0.3079   0.313   
56684-7081-0078 154.10002 +60.9890  3.148 10.7  1  0    2.7825  20.04   1.0489   0.572   0.5844   0.304   
55679-4876-0262 154.11216 +6.0190   2.837 14.1  1  0    2.0345  20.11   0.1214   0.401   0.1347   0.212   
55679-4876-0262 154.11216 +6.0190   2.837 14.1  1  0    2.0583  20.64   0.3571   0.16    0.4135   0.183   
55679-4876-0262 154.11216 +6.0190   2.837 14.1  1  0    2.0937  20.71   2.6514   0.153   3.1146   0.177   
56710-7385-0382 154.11684 +45.5468  3.652 2     0  0    3.4369  20.4    1.5067   0.985   1.3184   0.857   
55600-4568-0186 154.11803 +35.7936  2.641 7.8   1  0    2.2135  20.35   0.6304   0.385   0.5471   0.319   
56336-6454-0362 154.14638 +32.7931  3.137 1.7   1  0    2.8957  20.99   2.3384   0.521   3.1030   0.686   
55617-4563-0436 154.14836 +37.9168  4.264 3.6   0  0    3.0307  20.28   2.7703   0.713   2.0132   0.506   
55617-4563-0436 154.14836 +37.9168  4.264 3.6   0  0    3.6503  20.03   4.5674   1.46    2.5197   0.805   
55617-4563-0436 154.14836 +37.9168  4.264 3.6   0  0    4.0383  20.1    0.9251   0.591   0.6458   0.41    
55617-4563-0436 154.14836 +37.9168  4.264 3.6   0  0    4.1485  21.05   0.0000   0       0.0000   0       
55987-5337-0470 154.15005 +16.2491  2.479 2.6   0  0    2.2523  20.03   -0.1308  0.757   -0.1016  0.455   
56336-6454-0662 154.15567 +35.2691  3.19  12.2  1  0    1.9963  20.56   0.3422   0.226   0.3486   0.24    
55928-5334-0932 154.15867 +8.9608   2.051 2.2   0  0    2.045   20.2    0.9911   0.232   0.7216   0.173   
56329-6461-0960 154.17806 +32.5922  3.763 2.5   0  0    3.354   20.14   -2.6848  0.379   -1.9159  0.272   
55614-4561-0092 154.18252 +42.0240  2.455 3.9   1  0    2.3314  20.94   1.3729   0.226   1.7734   0.29    
55570-4562-0230 154.18803 +40.0101  2.963 6.9   1  0    2.8114  20.45   1.3514   0.157   1.2484   0.145   
56002-5338-0530 154.21066 +13.0120  4.851 2.4   0  0    4.7436  20.41   -0.7009  0.73    -0.6355  0.662   
56370-6455-0547 154.22668 +32.3179  2.363 2     0  0    2.3464  20.06   3.1759   0.7     2.3641   0.533   
55644-4692-0601 154.23239 +45.0279  3.692 2.5   1  0    2.814   20.05   -5.0681  2.05    -2.4423  1.1     
55644-4692-0601 154.23239 +45.0279  3.692 2.5   1  0    3.4718  20.38   -2.2436  0.988   -1.9485  0.857   
56334-6470-0922 154.24745 +27.9107  3.073 11.9  0  0    2.0902  20.34   -2.2385  0.282   -2.0113  0.227   
55652-4802-0508 154.25582 +4.7734   2.535 1.8   1  0    2.5017  20.35   0.4800   0.46    0.4259   0.411   
56334-6470-0926 154.25820 +27.3977  2.686 8.2   0  0    2.5325  20.16   0.3466   0.207   0.2335   0.144   
56013-5335-0238 154.26110 +14.6463  3.173 1.9   0  0    2.6373  20.32   2.7445   2.73    2.2143   2.21    
56637-7087-0858 154.26346 +59.6589  3.441 9.8   1  0    2.3211  20.19   0.9680   0.899   0.8847   0.62    
56329-6461-1000 154.27170 +31.8838  2.672 3.6   1  0    2.2575  20.34   -0.2111  0.943   -0.2283  0.774   
56033-5883-0144 154.27508 +18.6706  4.448 4.3   0  0    3.1916  20.91   1.3775   0.316   1.9757   0.461   
56033-5883-0144 154.27508 +18.6706  4.448 4.3   0  0    3.91    20.36   -0.2340  0.779   -0.2018  0.672   
56033-5883-0144 154.27508 +18.6706  4.448 4.3   0  0    4.183   21.03   0.0000   0       0.0000   0       
56336-6454-0302 154.28360 +33.4625  4.035 2.5   1  0    3.6311  20.4    2.6548   0.362   2.3891   0.326   
56013-5335-0217 154.28425 +14.1336  3.199 4.5   0  0    2.9417  20.4    0.8988   0.186   0.7973   0.165   
55957-5336-0268 154.28481 +10.3459  2.939 6.3   0  0    2.0852  20.01   1.2735   0.966   0.3269   0.471   
55957-5336-0268 154.28481 +10.3459  2.939 6.3   0  0    2.5927  20.5    1.7611   0.445   1.6827   0.429   
55957-5336-0268 154.28481 +10.3459  2.939 6.3   0  0    2.7029  20.85   1.1140   0.0964  1.3925   0.12    
55269-3784-0804 154.28853 -1.3066   2.219 4.8   0  0    2.0971  20.59   0.8520   0.123   0.8916   0.128   
55600-4568-0160 154.29448 +35.9716  3.227 5.7   1  0    3.1532  20.3    0.9487   0.212   0.8706   0.193   
56334-6470-0030 154.31017 +26.8330  2.661 3.1   0  0    2.3829  20.2    0.9424   0.449   0.7176   0.339   
56329-6461-0994 154.32374 +32.0753  2.862 9.3   1  0    2.7241  20.4    0.9253   0.154   0.8227   0.137   
55614-4561-0892 154.32975 +43.2303  2.957 2.6   1  0    2.773   20.43   -0.9525  0.618   -0.8577  0.56    
56033-5883-0899 154.33017 +19.1118  2.25  4.3   1  0    2.0978  20.83   1.2760   0.165   1.5575   0.205   
55652-4802-0494 154.33082 +4.0012   4.079 2.8   0  0    2.4985  20.35   5.1315   3.01    3.5937   2.34    
55574-3830-0018 154.34580 +0.1942   2.3   3.7   0  0    2.0569  20.67   -0.0070  0.197   -0.0035  0.215   
56684-7081-0026 154.35790 +61.2744  2.799 28.5  1  0    2.7688  20.47   0.8688   0.036   0.8280   0.0347  
56013-5335-0804 154.36400 +15.0688  2.392 2.2   0  0    2.2232  20.21   -0.8367  0.572   -0.6103  0.417   
55570-4562-0126 154.38434 +38.9804  3.177 4.2   0  0    2.8279  20.14   2.6683   0.298   1.9018   0.214   
55614-4561-0900 154.40014 +43.2023  2.622 2.2   0  0    2.2839  20.18   -2.8202  1.27    -1.9784  0.884   
56684-7081-0116 154.40198 +61.0406  2.691 4.8   0  0    2.365   20.2    1.0407   0.633   0.7012   0.438   
56027-5872-0364 154.40342 +20.7247  2.594 6.8   0  0    2.0606  20.21   3.6495   0.312   2.5498   0.213   
56027-5872-0364 154.40342 +20.7247  2.594 6.8   0  0    2.1011  20.47   4.0878   0.296   3.8803   0.279   
56336-6454-0318 154.40502 +33.9553  3.261 2.3   0  0    2.3196  20      -2.8260  4.7     0.0563   1.63    
56370-6455-0474 154.41082 +31.3901  3.342 2.1   0  0    2.2914  20.05   3.2149   2.13    1.8394   1.23    
56713-7082-0776 154.41882 +64.5712  3.491 2.8   1  0    2.7049  20.69   2.3176   0.581   2.6788   0.661   
56713-7082-0776 154.41882 +64.5712  3.491 2.8   1  0    3.4145  20.48   0.8249   0.517   0.7941   0.502   
55652-4802-0490 154.42477 +3.8640   2.662 12.2  1  0    2.2148  20.81   2.0104   0.124   2.5931   0.157   
56336-6454-0726 154.44899 +34.4605  3.689 4.3   0  0    2.2314  20.11   2.0027   4.94    -0.5383  2.28    
56013-5335-0814 154.44937 +14.7974  2.325 5.2   1  0    2.1397  20.38   -0.0764  0.161   -0.0592  0.139   
56717-7381-0188 154.46866 +47.9502  3.079 5.1   1  0    2.6567  20.42   1.2900   0.796   1.1097   0.727   
56717-7381-0188 154.46866 +47.9502  3.079 5.1   1  0    2.7056  20.64   1.2693   0.491   1.4168   0.542   
56013-5335-0851 154.47179 +14.8243  2.914 6     0  0    2.2296  20.42   1.2778   0.348   1.1219   0.312   
56013-5335-0834 154.48339 +15.7667  2.467 9     0  0    2.1627  21.17   0.7224   0.0853  1.0963   0.138   
56336-6454-0304 154.48840 +33.4708  2.772 1.6   1  0    2.644   21.23   2.1511   0.395   3.2674   0.611   
56606-6658-0602 154.49213 +49.4105  2.808 1.7   0  0    2.5792  20.96   0.0800   0.351   0.2052   0.485   
56606-6658-0602 154.49213 +49.4105  2.808 1.7   0  0    2.6956  20.37   -0.2391  0.518   -0.2818  0.48    
55679-4876-0198 154.50727 +6.4694   2.277 5     1  0    2.1274  20.39   1.2676   0.196   1.1080   0.172   
55588-4557-0499 154.50876 +42.3498  2.538 2.1   0  0    2.3774  20.61   -0.3724  0.607   -0.3726  0.641   
55570-4562-0152 154.50953 +40.0261  3.042 5.1   0  0    2.1988  20.07   -0.5584  1.11    0.1471   0.593   
55570-4562-0152 154.50953 +40.0261  3.042 5.1   0  0    2.2177  21.3    -0.0255  0.28    0.0116   0.508   
55600-4568-0884 154.51142 +36.5083  2.606 5.8   0  0    2.0947  20.38   2.4987   0.421   2.0996   0.359   
56605-6668-0725 154.51494 +51.6159  2.254 5.3   1  0    2.0425  20.4    1.3858   0.141   1.2302   0.125   
56605-6668-0725 154.51494 +51.6159  2.254 5.3   1  0    2.1188  20.34   -0.8406  0.182   -0.7026  0.152   
55653-4801-0018 154.51731 +4.4602   2.451 2.9   0  0    2.2128  20.18   -0.9185  0.35    -0.6489  0.254   
55269-3784-0106 154.52511 -3.2240   2.576 12    1  0    2.3082  20.69   0.7044   0.0888  0.7690   0.0985  
56370-6455-0468 154.52618 +31.1076  3.651 26.5  1  0    3.4813  20.13   0.8750   0.146   0.6291   0.105   
56326-6462-0688 154.52684 +29.4913  3.413 4.4   0  0    2.3188  20.07   -0.8379  2.58    -0.6711  1.49    
56624-7084-0060 154.52882 +54.7296  3.123 13    1  0    2.579   20.24   5.1862   0.498   3.5300   0.347   
56624-7084-0060 154.52882 +54.7296  3.123 13    1  0    2.8636  20.39   0.0640   0.0828  0.0514   0.073   
55679-4876-0184 154.53317 +5.8749   3.011 4.6   1  0    2.6533  20.48   1.3508   0.965   1.2874   0.942   
56279-6465-0758 154.54062 +26.5150  2.796 1.7   1  0    2.4824  20.02   2.1162   0.629   1.2693   0.398   
56336-6454-0272 154.54429 +33.7002  3.507 3.3   1  0    2.5907  20.04   -9.8914  2.87    -4.2462  1.41    
56336-6454-0272 154.54429 +33.7002  3.507 3.3   1  0    2.7505  21.03   0.4152   0.535   0.6770   0.787   
56046-5884-0506 154.54528 +19.1460  2.641 5.2   0  0    2.0046  20.23   0.0219   0.409   0.0466   0.285   
55570-4562-0857 154.55226 +41.0903  3.19  1.9   0  0    2.5366  20.3    3.6932   2.15    2.7635   1.68    
56274-6458-0008 154.55548 +23.0712  2.978 5.5   1  0    2.3152  20.59   -0.1811  0.345   -0.1718  0.363   
56274-6458-0008 154.55548 +23.0712  2.978 5.5   1  0    2.7195  20.05   0.5880   0.327   0.3698   0.211   
56370-6455-0562 154.55681 +32.0506  3.999 2.2   0  0    3.4852  20.18   -4.8794  5.92    -2.4771  3       
56370-6455-0562 154.55681 +32.0506  3.999 2.2   0  0    3.8025  20.81   1.1540   0.508   1.3556   0.597   
56279-6465-0316 154.55919 +25.0942  2.675 12.6  1  0    2.3805  20.25   2.4548   0.119   1.9192   0.0942  
56715-7384-0056 154.56118 +45.3601  2.631 2.6   0  0    2.1288  20.2    1.1163   1.33    0.6343   0.907   
56715-7384-0056 154.56118 +45.3601  2.631 2.6   0  0    2.315   20.18   1.4513   1.11    1.0256   0.749   
56717-7381-0844 154.57213 +49.0635  3.226 1.6   0  0    3.0372  20.22   -2.6229  0.454   -1.9515  0.336   
55957-5336-0236 154.57909 +10.5286  2.777 4     0  0    2.476   20.03   1.5034   0.465   0.9381   0.3     
55543-3831-0352 154.58829 +0.0315   3.494 17    1  0    2.5366  20.34   -2.1198  0.755   -1.6690  0.624   
55543-3831-0352 154.58829 +0.0315   3.494 17    1  0    3.1427  20.77   -0.6442  0.0893  -0.7365  0.103   
55543-3831-0352 154.58829 +0.0315   3.494 17    1  0    3.4035  21.18   1.6578   0.109   2.3167   0.152   
55679-4876-0813 154.59031 +6.7429   3.415 9.4   0  0    2.5252  20.23   -2.1698  1.41    -1.2384  0.807   
55269-3784-0110 154.59227 -2.5999   2.413 7.8   1  0    2.19    20.42   3.6616   0.0947  3.3240   0.086   
55679-4876-0809 154.59526 +7.0930   3.755 10.8  1  0    2.4362  20.19   -1.3255  0.521   -0.9195  0.354   
55679-4876-0809 154.59526 +7.0930   3.755 10.8  1  0    3.2369  20.19   0.4168   0.312   0.3569   0.213   
55614-4561-0042 154.61720 +42.0256  2.224 3.7   1  0    2.1673  20.62   1.2049   0.114   1.2792   0.121   
55617-4563-0684 154.63411 +38.5099  3.827 7.3   0  0    2.4299  20.02   1.4354   1.45    0.4054   0.753   
55617-4563-0684 154.63411 +38.5099  3.827 7.3   0  0    2.4521  20.13   2.9673   1.6     2.1324   0.942   
55617-4563-0684 154.63411 +38.5099  3.827 7.3   0  0    2.6947  20.18   2.0570   0.974   1.2545   0.598   
56326-6462-0282 154.63853 +28.2674  2.77  7     1  0    2.5386  20.69   -0.1865  0.0941  -0.2063  0.105   
56013-5335-0146 154.64736 +14.2839  2.185 2.8   1  0    2.1278  20.44   1.0401   0.152   1.0074   0.145   
56637-7087-0098 154.64961 +58.9967  3.251 4.1   0  0    2.5407  20.05   0.2075   1.32    0.1306   0.75    
55922-5339-0604 154.66782 +8.8033   3.891 12.6  0  0    3.5466  20.24   0.8553   0.123   0.6750   0.0973  
56326-6462-0308 154.66859 +28.8335  4.77  2.7   0  0    3.3983  20.26   4.5002   0.862   2.7732   0.538   
56326-6462-0308 154.66859 +28.8335  4.77  2.7   0  0    3.7455  20      -312.0543 100     -46.4435 14.9    
56326-6462-0308 154.66859 +28.8335  4.77  2.7   0  0    4.4236  20.33   0.3513   3.12    0.2537   2.25    
56326-6462-0308 154.66859 +28.8335  4.77  2.7   0  0    4.5473  20.54   0.2431   2.01    0.2504   2.07    
55652-4802-0573 154.67956 +4.4084   3.837 5.2   0  0    3.6804  20.17   -0.8804  0.468   -0.6082  0.323   
55644-4692-0670 154.68508 +45.4180  4.43  6.2   1  0    3.6855  21.15   2.9271   0.236   4.3683   0.353   
55644-4692-0670 154.68508 +45.4180  4.43  6.2   1  0    4.1414  20.24   0.0000   0       0.0000   0       
55644-4692-0670 154.68508 +45.4180  4.43  6.2   1  0    4.2467  20.18   0.0717   0.281   0.0539   0.212   
55644-4692-0670 154.68508 +45.4180  4.43  6.2   1  0    4.3504  20.2    -0.4221  0.0923  -0.3193  0.0795  
56279-6465-0772 154.68517 +25.5591  2.199 3.2   1  0    2.0689  20.76   -0.0257  0.198   0.0042   0.243   
55987-5337-0386 154.69408 +16.3639  3.517 2.9   0  0    3.2246  20.64   0.6529   0.385   0.6765   0.415   
55987-5337-0384 154.70583 +16.2412  2.872 11.9  0  0    2.5236  20.76   2.1427   0.198   2.5813   0.238   
55957-5336-0820 154.71677 +11.3856  4.116 6     0  0    2.9328  20.35   1.2076   0.596   1.0608   0.512   
55957-5336-0820 154.71677 +11.3856  4.116 6     0  0    3.8293  20.17   -0.0026  0.329   -0.0019  0.245   
56398-6696-0564 154.72177 +55.3829  3.047 3.7   0  0    2.7626  20.06   -0.0955  0.376   -0.0646  0.248   
56602-6687-0150 154.72179 +52.9818  3.651 2.8   1  0    3.3002  20.27   -0.4200  0.384   -0.3633  0.309   
56659-7090-0480 154.72451 +61.5294  3.148 2.3   1  0    2.987   21.61   0.9909   0.159   1.8161   0.297   
55644-4692-0354 154.72465 +44.5371  4.304 2.4   1  0    3.1523  21.08   -0.7558  0.822   -1.1313  1.51    
55644-4692-0354 154.72465 +44.5371  4.304 2.4   1  0    4.0418  20.27   0.2248   0.517   0.1827   0.42    
55570-4562-0116 154.72517 +40.2853  2.976 14.9  1  0    2.7763  20.24   0.5126   0.0913  0.3874   0.0694  
56013-5335-0138 154.72754 +14.2232  3.948 2.7   0  0    3.774   20.15   0.0000   0       0.0000   0       
55543-3831-0708 154.75324 +0.9683   2.888 6.3   1  0    2.2388  20.71   0.5408   0.304   0.6481   0.358   
56710-7385-0740 154.75439 +46.3387  3.371 2.5   0  0    3.1047  20      -1.2859  0.465   -0.8021  0.267   
56606-6658-0404 154.75842 +47.6207  2.941 10.9  1  0    2.741   20.83   0.1234   0.0714  0.1495   0.088   
55588-4557-0450 154.75881 +41.4044  2.505 2.1   1  0    2.0966  20.48   -0.4819  0.959   -0.4596  0.911   
56013-5335-0120 154.77102 +14.7152  2.511 7     0  0    2.2186  21.31   1.2294   0.0897  1.9382   0.142   
56637-7087-0076 154.77145 +59.5113  2.478 6.7   0  0    1.9647  20.08   0.2198   0.415   -0.0118  0.236   
56637-7087-0076 154.77145 +59.5113  2.478 6.7   0  0    2.1919  20.18   5.9616   0.187   4.5071   0.138   
56605-6668-0264 154.78669 +50.7785  2.323 2.4   1  0    2.2505  20.84   2.3136   0.212   2.7226   0.253   
55679-4876-0144 154.78954 +6.3064   3.405 7.8   1  0    3.363   20.43   0.6610   0.158   0.6319   0.15    
56326-6462-0772 154.79137 +29.5429  3.904 2.5   0  0    2.8609  20.02   4.4000   1.49    2.0747   0.777   
56002-5338-0636 154.79212 +13.2433  3     12.5  0  0    2.0212  20.13   2.1561   0.293   1.3268   0.173   
55652-4802-0594 154.79235 +5.1282   2.604 3.1   1  0    2.5619  20.76   0.7547   0.169   0.8362   0.193   
56715-7384-0994 154.80402 +46.0346  2.984 2.7   1  0    2.38    20.55   2.1431   0.806   2.2150   0.819   
56279-6465-0782 154.81526 +26.6430  2.522 9.1   1  0    2.3425  20.08   2.7871   0.237   1.8405   0.155   
55652-4802-0588 154.83323 +5.4773   2.79  2.4   1  0    2.2582  20.42   4.0278   0.621   3.6250   0.557   
55652-4802-0588 154.83323 +5.4773   2.79  2.4   1  0    2.6474  20.42   2.1982   0.351   1.9838   0.317   
56684-7081-0014 154.83573 +61.4341  2.627 3.1   1  0    2.2448  21.27   0.5244   0.317   0.8104   0.548   
55644-4692-0710 154.86096 +45.3503  2.858 11.6  0  0    2.0039  20.1    -0.4252  0.307   -0.2044  0.17    
56717-7381-0879 154.87176 +49.3321  2.587 5.1   1  0    2.4205  20.02   -1.1603  0.234   -0.6473  0.135   
55652-4802-0409 154.87713 +3.2969   2.942 14    1  0    2.671   20.09   0.6223   0.142   0.4324   0.0967  
56336-6454-0834 154.88214 +34.9882  4.531 4.4   0  -1   3.9236  20.34   0.3973   0.763   0.3779   0.64    
56336-6454-0834 154.88214 +34.9882  4.531 4.4   0  -1   4.0226  20.15   4.3909   0.856   2.8656   0.559   
56336-6454-0834 154.88214 +34.9882  4.531 4.4   0  -1   4.1462  20.1    0.0000   0       0.0000   0       
56336-6454-0834 154.88214 +34.9882  4.531 4.4   0  -1   4.2418  20.45   -0.2638  0.252   -0.2462  0.235   
56336-6454-0834 154.88214 +34.9882  4.531 4.4   0  -1   4.3074  20.05   0.1698   0.386   0.1129   0.257   
56336-6454-0834 154.88214 +34.9882  4.531 4.4   0  -1   4.47    20.02   -0.6637  0.221   -0.5396  0.18    
55570-4562-0929 154.88320 +40.6726  3.215 5.9   1  0    2.509   20.35   1.4022   0.522   1.1137   0.427   
55957-5336-0865 154.89116 +10.9484  2.404 6     1  0    2.2884  20.18   0.5599   0.219   0.3983   0.158   
56637-7087-0898 154.89125 +60.0288  2.864 5.5   1  0    2.4401  21.05   1.7930   0.33    2.6146   0.49    
56637-7087-0898 154.89125 +60.0288  2.864 5.5   1  0    2.5726  20.86   0.6022   0.181   0.7258   0.22    
55600-4568-0062 154.89432 +35.5797  2.389 3.2   0  0    2.244   20.46   1.1377   0.288   1.0648   0.269   
55543-3831-0714 154.89497 +1.1224   3.974 3.7   1  0    3.1523  20.52   0.3494   1.48    0.5516   1.5     
55543-3831-0726 154.90178 +0.6130   2.995 3.8   0  0    2.1296  20.3    1.3094   0.828   0.9253   0.641   
56033-5883-0062 154.90647 +18.4762  2.611 2.2   0  0    2.5957  20.17   0.4585   0.365   0.3601   0.279   
56602-6687-0134 154.91317 +52.7744  2.173 12.9  1  0    2.0182  20.39   3.1324   0.0451  2.7501   0.0393  
56715-7384-0019 154.92245 +45.9386  2.759 3     1  0    2.4205  20.02   -0.7035  1.3     -0.1390  0.673   
55234-3770-0494 154.93564 -2.6484   3.582 10.3  1  0    2.4945  20.16   3.2829   0.471   2.0900   0.265   
56013-5335-0076 154.94665 +14.6003  2.633 7.8   0  0    2.5076  20.4    3.0598   0.148   2.7014   0.131   
55570-4564-0576 154.95001 +35.6962  2.681 30.2  1  0    2.4978  20.47   0.7209   0.037   0.6792   0.0348  
56370-6455-0370 154.95472 +30.8700  2.45  3.6   1  0    2.2321  20.73   2.2986   0.153   2.6417   0.176   
56713-7082-0212 154.95641 +63.2126  2.601 2.7   0  0    2.58    20.12   0.2466   0.607   0.0996   0.46    
55617-4563-0738 154.97384 +38.0409  2.176 4.3   0  0    2.0323  20.01   1.7107   0.226   0.9622   0.122   
55922-5339-0353 154.97724 +8.4209   2.979 58.2  0  0    2.3165  20.01   -1.3777  0.102   -0.7430  0.0511  
56710-7385-0241 154.98682 +45.1407  2.336 2.1   0  0    2.3089  20.05   2.0961   1.24    1.3476   0.857   
56279-6465-0168 155.00365 +24.1371  2.39  3.8   0  0    2.3301  20.46   1.6980   0.279   1.6370   0.271   
55570-4562-0060 155.00498 +39.4326  2.944 10.7  1  0    2.6609  20.51   0.1184   0.113   0.1156   0.11    
55570-4562-0060 155.00498 +39.4326  2.944 10.7  1  0    2.8973  20.42   0.8983   0.0773  0.8570   0.0727  
56013-5335-0092 155.01025 +14.0368  3.165 6.1   0  0    2.2742  20.68   0.5972   0.659   0.7540   0.809   
56272-6424-0436 155.01447 +22.6352  3.714 9     1  0    2.4276  20.22   -0.5319  0.684   -0.4282  0.488   
56272-6424-0436 155.01447 +22.6352  3.714 9     1  0    3.2824  21.26   1.0676   0.166   1.8312   0.279   
55679-4876-0140 155.01638 +6.4308   2.653 11.6  1  0    2.4771  20.74   0.5871   0.0722  0.6794   0.0836  
56605-6668-0792 155.02175 +52.2104  3.038 3.7   0  0    2.2047  20.34   3.4683   1.09    2.8501   0.889   
56326-6462-0214 155.02490 +28.6963  2.947 2.3   1  0    2.6281  21.16   0.8789   0.231   1.2763   0.331   
