#A. Arinyo-i-Prats, V1, catalogue Metal Stength  mesure of the metal strength (corrected by the DLA's column and not) belonging to the Damped Lyman-alpha systems  SDSS catalog (done by P. Notredame DR12_V1)
# ========================================================================================   
# Col1:  A15 (I5-I04-I04)  MJD, plate and fiber number of highest SNR spectrum (if combined)
# Col2:  F9.5              Right ascension in degrees
# Col3:  F+8.4             Declination in degrees 
# Col4:  F6.4		   Quasar redshift
# Col5:  F5.1              Continuum to noise ratio in [Lyb-Lya] region
# col6:  I6		   Visual Flag for the DLAs
# Col7:  I6                Balnicity Index (km/s)      --> Isabelle
# Col8:  F6.4              Absorption redshift of the DLA candidate
# Col9:  F5.2              Log10 of HI column density (cm^-2)
# Col10-11: 		   Metal strenght and its error, corrected by the column density HI, in adimensional units
# Col12-13: 		   Metal strenght and its error, uncorrected , in adimensional units
#=======================================================================================================
##MJD-Plate-Fiver RA       Dec 	    zqso CNR  flDLA BI  z_abs   NHI 	MS(HI)   errMS(HI) MS	  errMS  
#-------------------------------------------------------------------------------------------------------
56565-6498-0912 0.30482   +32.3922  2.126 5.7   0  0    2.071   20.14   0.4269   0.111   0.2711   0.0828  
56564-7034-0319 0.32323   -4.5988   3.017 2.6   1  0    2.3696  20.65   1.4888   0.792   1.5260   0.874   
55477-4216-0210 0.32557   -0.8541   3.062 9.1   0  0    2.4931  20.41   2.2084   0.256   1.9300   0.226   
56604-7167-0822 0.33178   -8.5104   2.841 4     0  0    2.7195  20.23   2.0383   0.183   1.7599   0.159   
55506-4277-0098 0.33447   +3.1255   2.135 8.3   1  0    2.1116  20.55   0.4426   0.0686  0.4473   0.0697  
56604-7167-0180 0.34628   -10.7140  3.506 3.1   0  0    2.6345  21.42   3.2674   0.372   6.3158   0.712   
56190-6182-0728 0.35098   +11.2035  4.288 2.4   0  0    3.8897  20.24   0.6235   0.357   0.4676   0.28    
56566-7134-0622 0.35176   +31.1188  3.235 8.6   1  0    2.829   20.11   2.2026   0.505   1.1988   0.307   
55863-4534-0526 0.36666   +9.3034   3.763 8.7   0  0    2.599   20.03   -1.0339  0.659   -0.5694  0.365   
55863-4534-0480 0.36851   +8.6760   3.71  5.7   0  0    2.3357  20.19   0.9564   4.38    1.8059   2.77    
55863-4534-0480 0.36851   +8.6760   3.71  5.7   0  0    2.6871  20.51   -0.3264  0.717   -0.3830  0.726   
56240-6170-0602 0.37355   +19.9748  2.539 3.2   0  0    2.1988  20.48   0.9289   0.663   0.8991   0.629   
56564-7034-0266 0.38192   -5.1305   2.275 8.5   1  0    2.0734  20.4    0.9314   0.136   0.8196   0.121   
55477-4216-0217 0.39798   -0.7019   3.588 17.3  0  0    2.4197  20.36   0.5892   0.246   0.5125   0.213   
56544-6877-0636 0.40132   +27.4432  3.145 10.9  1  0    2.6547  21.88   0.9832   0.128   2.1539   0.304   
56544-6877-0636 0.40132   +27.4432  3.145 10.9  1  0    2.7349  20.21   -1.2809  0.491   -1.0514  0.336   
56544-6877-0636 0.40132   +27.4432  3.145 10.9  1  0    2.8918  20.07   0.8875   0.141   0.5422   0.089   
55478-4217-0516 0.40217   +0.0538   3.563 6.3   0  0    2.3596  21.03   -0.7109  0.994   -0.6499  1.54    
55478-4217-0516 0.40217   +0.0538   3.563 6.3   0  0    2.4252  20.17   -0.6813  0.774   -0.4290  0.521   
56564-7135-0514 0.41428   +28.5913  3.162 1.9   0  0    2.4473  20.29   1.5243   1.07    1.2380   0.824   
56269-6172-0699 0.44013   +15.9429  2.418 5.2   1  0    2.0654  20.34   1.7197   0.31    1.4653   0.255   
56269-6172-0699 0.44013   +15.9429  2.418 5.2   1  0    2.2927  20.21   3.7004   0.253   2.7758   0.19    
56269-6172-0686 0.44246   +16.4662  2.685 5.8   1  0    2.4426  21.26   0.5176   0.119   0.7782   0.188   
56540-6511-0947 0.44325   +29.0336  2.902 3.6   1  0    2.5529  20.41   2.1260   0.708   1.8659   0.619   
56540-6511-0044 0.44483   +27.0017  2.837 4.9   0  0    2.2778  20.19   1.0571   0.607   0.7234   0.412   
56540-6511-0044 0.44483   +27.0017  2.837 4.9   0  0    2.3005  20.07   -0.0812  0.845   -0.0777  0.475   
56591-7148-0530 0.44500   -7.1839   3.094 4.1   0  0    2.4291  20.2    -5.3539  1.14    -3.6614  0.774   
56591-7148-0530 0.44500   -7.1839   3.094 4.1   0  0    3.0293  20.54   2.6592   0.16    2.6962   0.163   
55499-4296-0704 0.45096   +3.4963   2.407 9.3   1  0    2.1904  20.01   2.3659   0.107   1.3549   0.0614  
55810-4354-0790 0.45812   -1.9943   2.812 17.4  0  0    2.031   20.18   0.4858   0.195   0.3650   0.125   
55810-4354-0790 0.45812   -1.9943   2.812 17.4  0  0    2.0946  20.74   1.1297   0.0861  1.3196   0.101   
55810-4354-0790 0.45812   -1.9943   2.812 17.4  0  0    2.154   20.27   0.5011   0.158   0.5023   0.117   
56567-7145-0128 0.46180   +34.0813  3.439 11    0  0    2.2508  20.03   0.3539   0.465   0.2015   0.258   
56264-6176-0558 0.46214   +12.4410  3.085 2.3   0  0    2.4857  20.53   1.3395   0.974   1.3495   0.967   
56564-7034-0270 0.47151   -5.1936   3.074 4.8   1  0    2.6131  20.13   1.9985   1.23    0.9943   0.768   
56564-7144-0858 0.47781   +33.3305  3.188 2.1   1  0    3.068   20.33   1.1186   0.257   1.0068   0.234   
56238-6173-0396 0.47812   +17.3719  2.169 3.2   1  0    2.071   20.37   2.6086   0.183   2.4424   0.168   
55477-4216-0166 0.47878   -0.8324   2.83  19.7  1  0    2.6917  20.16   2.2541   0.0768  1.5702   0.0537  
56591-7148-0468 0.48203   -7.5857   2.755 9.6   1  0    2.4633  20.38   1.4806   0.115   1.3066   0.102   
56564-7144-0871 0.48457   +34.1527  3.07  3.5   1  0    2.902   20.61   1.4644   0.197   1.5368   0.209   
56268-6177-0734 0.49745   +14.3900  2.421 5.4   0  0    2.3488  20.28   1.0528   0.147   0.8812   0.128   
56565-6498-0109 0.51250   +31.3450  3.076 5.3   1  0    2.7332  20.45   -0.9211  0.238   -0.8612  0.222   
56190-6182-0234 0.52648   +10.6011  2.682 9     1  0    2.0696  20.11   5.4400   0.425   2.9899   0.25    
56190-6182-0234 0.52648   +10.6011  2.682 9     1  0    2.1116  20.05   -1.1635  0.461   -0.7043  0.256   
56190-6182-0234 0.52648   +10.6011  2.682 9     1  0    2.4127  20.72   0.4759   0.179   0.4572   0.204   
56190-6182-0234 0.52648   +10.6011  2.682 9     1  0    2.5967  20.99   2.6915   0.0825  3.4514   0.107   
55477-4216-0180 0.54510   -1.1776   2.272 2.2   0  0    2.2106  20.37   0.6424   0.433   0.5528   0.373   
55831-4415-0642 0.54790   +5.9884   2.429 3.6   0  0    2.1437  20.31   2.3042   0.251   1.9044   0.206   
56190-6182-0240 0.55670   +10.6710  2.677 12.6  1  0    2.2172  20.46   -0.0627  0.184   -0.0651  0.173   
56269-6172-0706 0.56429   +16.8677  2.961 3.1   1  0    2.7517  20.85   0.5265   0.198   0.6579   0.247   
56564-7034-0226 0.57343   -5.2264   2.528 2.3   0  0    2.2113  20.28   1.3810   0.855   1.0513   0.656   
56543-6513-0925 0.58604   +25.0611  2.769 9.5   1  0    2.5343  20.41   0.5399   0.0982  0.4823   0.0878  
55863-4534-0407 0.58960   +8.2833   3.162 14.4  0  0    2.2733  20.28   0.1322   0.694   0.1175   0.456   
55477-4216-0152 0.59474   -0.2628   2.919 1.7   0  0    2.2816  20.56   0.7703   1.23    0.8054   1.27    
55477-4216-0152 0.59474   -0.2628   2.919 1.7   0  0    2.8957  20.3    0.8327   0.617   0.7202   0.537   
56543-6513-0953 0.61801   +25.4624  3.643 4.5   0  0    2.5358  20.09   0.1629   2.61    -0.1062  1.53    
56566-7134-0683 0.62616   +29.9552  3.244 10.2  1  0    2.8112  20.25   3.0862   0.507   2.3088   0.365   
56574-7147-0086 0.63489   -7.3562   3.17  4.9   1  0    2.2128  20.39   1.2590   0.633   1.0371   0.541   
56574-7147-0086 0.63489   -7.3562   3.17  4.9   1  0    2.4553  20.44   -0.7719  0.522   -0.7431  0.475   
56268-6177-0726 0.65441   +14.5453  2.462 5.1   1  0    2.0788  20.98   1.2440   0.202   1.8353   0.295   
56604-7167-0148 0.66007   -10.1972  3.933 3.1   1  0    3.2558  20.5    1.6632   0.863   1.5332   0.864   
56539-6879-0315 0.66030   +22.5580  2.532 12.8  1  0    2.3715  20.82   0.2881   0.0617  0.3673   0.0761  
56240-6170-0673 0.66087   +20.1748  3.016 10.7  1  0    2.2269  20.45   0.9901   0.203   0.9110   0.186   
55478-4217-0547 0.67628   +0.8925   3.943 1.7   0  0    3.4523  20.45   0.6196   1.75    0.5730   1.58    
56564-7034-0820 0.68334   -4.4175   2.748 5.3   1  0    2.705   20.87   -0.1162  0.134   -0.1781  0.164   
55810-4354-0214 0.68515   -3.4546   2.986 1.7   0  0    2.6913  20.24   -0.2985  0.784   -0.2310  0.62    
55477-4216-0902 0.70740   +1.2177   3.195 1.6   0  0    2.8079  20.54   4.5277   2.68    4.4017   2.64    
56566-7134-0718 0.71743   +30.7421  2.766 2.6   0  0    2.5775  20.12   0.3248   0.42    0.2211   0.277   
55478-4217-0475 0.71970   -0.0586   3.698 2.7   1  0    2.771   20.5    -0.7525  0.68    -0.7121  0.644   
55499-4296-0212 0.72339   +1.4394   2.811 20.1  1  0    2.644   20.59   0.4107   0.0534  0.4269   0.0555  
56567-7145-0094 0.73833   +34.4801  2.468 1.7   1  0    2.3549  20.14   1.2901   1.17    1.0047   0.771   
56269-6172-0228 0.74459   +15.6419  2.87  1.8   1  0    2.2284  21.14   0.4606   0.693   0.6865   1.09    
56269-6172-0228 0.74459   +15.6419  2.87  1.8   1  0    2.6231  21.31   2.9064   0.255   4.5250   0.406   
56269-6172-0775 0.75143   +16.0077  3.662 10.8  0  0    2.1462  20.31   -0.1281  0.405   -0.1184  0.295   
56269-6172-0775 0.75143   +16.0077  3.662 10.8  0  0    2.2195  20.93   0.8348   0.291   1.2121   0.427   
56269-6172-0775 0.75143   +16.0077  3.662 10.8  0  0    2.4497  20.01   0.6456   0.343   0.3505   0.173   
55477-4216-0896 0.76606   +0.5796   2.902 2.1   0  0    2.8975  20.1    0.6553   0.441   0.4704   0.321   
56625-7168-0423 0.76726   -10.3657  2.46  3.9   0  0    2.2217  20      -1.5841  0.389   -0.8158  0.225   
56544-6877-0314 0.77227   +25.7807  3.203 16.5  1  0    3.1125  20.01   1.7011   0.0779  1.3068   0.0586  
55810-4354-0862 0.77666   -2.2709   2.515 4.1   0  0    2.215   21.08   1.2977   0.145   1.8043   0.201   
56544-6877-0308 0.81207   +25.9260  2.695 9.3   0  0    2.5924  20.07   0.9383   0.108   0.6601   0.0802  
56564-7135-0558 0.81611   +29.0399  2.569 16.9  1  0    2.146   21.11   1.1366   0.0693  1.7427   0.11    
56544-6877-0712 0.82240   +27.2866  2.878 3.5   0  0    2.2884  20.05   -0.2111  0.969   -0.1330  0.553   
56604-7167-0124 0.83576   -10.1937  2.479 5     1  0    2.171   21.2    2.5167   0.156   4.1091   0.255   
56574-7147-0972 0.84277   -6.6674   3.257 2.3   0  0    2.9326  20.91   -0.6532  0.227   -0.8406  0.286   
55478-4217-0562 0.84394   +0.5143   2.685 7.3   1  0    2.5607  20.28   0.2873   0.15    0.2241   0.119   
56591-7148-0410 0.84757   -8.2687   2.413 6.2   1  0    2.2583  21.07   1.1881   0.0736  1.7378   0.105   
56264-6176-0566 0.84790   +13.5643  3.548 6.6   0  0    2.3021  20.03   -1.2246  1.56    -0.7573  0.845   
56264-6176-0566 0.84790   +13.5643  3.548 6.6   0  0    2.3449  20.41   -1.2491  2.19    -2.1344  2       
56311-6171-0534 0.86361   +21.3344  2.838 1.5   0  0    2.4593  20.73   1.0222   1.06    1.1692   1.26    
56311-6171-0534 0.86361   +21.3344  2.838 1.5   0  0    2.58    20.34   1.6396   1.02    1.3389   0.869   
55506-4277-0998 0.86905   +3.8443   3.121 3.3   1  0    2.3658  20.46   0.4781   0.508   0.4676   0.468   
55506-4277-0998 0.86905   +3.8443   3.121 3.3   1  0    2.9354  20      -0.8568  0.399   -0.4587  0.228   
